"AQI","latitude","longitude","state_name"
84,45.168004,-92.765136,"Minnesota"
80,45.40184,-93.20306,"Minnesota"
10,44.4438,-95.81789,"Minnesota"
63,46.851811,-95.846272,"Minnesota"
88,30.390369,-89.049778,"Mississippi"
42,34.82056,-89.98778,"Mississippi"
15,30.300833,-89.395916,"Mississippi"
85,32.364565,-88.731491,"Mississippi"
42,32.329111,-90.182722,"Mississippi"
36,32.346722,-90.225667,"Mississippi"
85,33.750838,-90.734175,"Mississippi"
84,30.378287,-88.53393,"Mississippi"
74,34.264917,-88.766222,"Mississippi"
85,34.002747,-89.799183,"Mississippi"
72,38.656429,-90.198348,"Missouri"
72,37.70264,-89.69864,"Missouri"
76,38.8994,-90.44917,"Missouri"
50,38.8994,-90.44917,"Missouri"
7,37.256137,-93.299894,"Missouri"
0,38.75961,-94.57983,"Missouri"
36,38.872546,-90.226488,"Missouri"
0,38.872546,-90.226488,"Missouri"
20,39.07803,-92.31632,"Missouri"
87,39.9544,-94.849,"Missouri"
65,37.319186,-93.204411,"Missouri"
15,37.90084,-90.42388,"Missouri"
51,38.448672,-90.395904,"Missouri"
51,37.2385,-94.42468,"Missouri"
21,39.53063,-94.55594,"Missouri"
27,38.75961,-94.57983,"Missouri"
41,39.53063,-94.55594,"Missouri"
90,39.331913,-94.580931,"Missouri"
35,38.70608,-92.09308,"Missouri"
1,38.71085,-90.47606,"Missouri"
70,37.70264,-89.69864,"Missouri"
87,39.474976,-91.788991,"Missouri"
40,39.407452,-94.265373,"Missouri"
47,39.04577,-90.84927,"Missouri"
35,38.71085,-90.47606,"Missouri"
47,38.49015,-90.70509,"Missouri"
56,37.319186,-93.204411,"Missouri"
69,37.90084,-90.42388,"Missouri"
58,39.303174,-94.377014,"Missouri"
89,38.70608,-92.09308,"Missouri"
66,37.70097,-94.03474,"Missouri"
40,39.407452,-94.265373,"Missouri"
74,39.07803,-92.31632,"Missouri"
88,38.448672,-90.395904,"Missouri"
62,39.474976,-91.788991,"Missouri"
33,39.04577,-90.84927,"Missouri"
2,38.49015,-90.70509,"Missouri"
57,39.331913,-94.580931,"Missouri"
79,37.256137,-93.299894,"Missouri"
17,39.303174,-94.377014,"Missouri"
